Имя	ИД процесса	Описание	Состояние	Группа
edgeupdatem		Microsoft Edge Update Service (edgeupdatem)	Остановлено	
EFS		Шифрованная файловая система (EFS)	Остановлено	
embeddedmode		Встроенный режим	Остановлено	LocalSystemNetworkRestricted
EntAppSvc		Служба управления корпоративными приложениями	Остановлено	appmodelRedirectionGuard
EventLog	1604	Журнал событий Windows	Выполняется	LocalServiceNetworkRestricted
EventSystem		Система событий COM+	Остановлено	LocalServiceRedirectionGuard
fdPHost		Хост поставщика функции обнаружения	Остановлено	LocalService
FDResPub		Публикация ресурсов обнаружения функции	Остановлено	LocalServiceAndNoImpersonation
fhsvc		Служба истории файлов	Остановлено	LocalSystemNetworkRestricted
FileSyncHelper		FileSyncHelper	Остановлено	
FontCache		Служба кэша шрифтов Windows	Остановлено	LocalService
FrameServer		Сервер кадров камеры Windows	Остановлено	Camera
FrameServerMonitor		Монитор сервера кадров камеры Windows	Остановлено	CameraMonitor
GameInputSvc		GameInput Service	Остановлено	
gpsvc		Клиент групповой политики	Остановлено	GPSvcGroup
GraphicsPerfSvc		GraphicsPerfSvc	Остановлено	GraphicsPerfSvcGroup
Gservice		Gservice	Остановлено	
hidserv		Доступ к HID-устройствам	Остановлено	LocalSystemNetworkRestricted
hpatchmon		Hotpatch Monitoring Service	Остановлено	LocalSystemNetworkRestricted
HvHost		Служба узла HV	Остановлено	LocalSystemNetworkRestricted
icssvc		Служба Windows Mobile Hotspot	Остановлено	LocalServiceNetworkRestricted
IKEEXT	2548	Модули ключей IPsec для обмена ключами в Интернете и протокола IP с проверкой подлинности	Выполняется	netsvcs
InstallService		Служба установки Microsoft Store	Остановлено	netsvcs
InventorySvc		Служба инвентаризации и оценки совместимости	Остановлено	InvSvcGroup
iphlpsvc		Вспомогательная служба IP	Остановлено	NetSvcs
IpxlatCfgSvc		Служба настройки преобразования IP-адресов	Остановлено	LocalSystemNetworkRestricted
KeyIso	1132	Изоляция ключей CNG	Выполняется	
KtmRm		KtmRm для координатора распределенных транзакций	Остановлено	NetworkServiceAndNoImpersonation
LanmanServer		Сервер	Остановлено	netsvcs
LanmanWorkstation	2300	Рабочая станция	Выполняется	NetworkService
lfsvc		Служба географического положения	Остановлено	netsvcsRedirectionGuard
LibreOfficeMaintenance		LibreOffice Maintenance Service	Остановлено	
LicenseManager		Служба Windows License Manager	Остановлено	LocalService
lltdsvc		Тополог канального уровня	Остановлено	LocalService
lmhosts	2976	Модуль поддержки NetBIOS через TCP/IP	Выполняется	LocalServiceNetworkRestricted
LocalKdc		Локальный центр распространения ключей Kerberos	Остановлено	
LSM	1448	Диспетчер локальных сеансов	Выполняется	DcomLaunch
LxpSvc		Служба Language Experience Service	Остановлено	netsvcs
MapsBroker		Диспетчер скачанных карт	Остановлено	NetworkService
McmSvc		Служба управления подключениями мобильных устройств	Остановлено	McmSvc
McpManagementService		McpManagementService	Остановлено	McpManagementServiceGroup
MDCoreSvc		Основная служба Microsoft Defender	Остановлено	
MessagingService_51989		MessagingService_51989	Остановлено	UnistackSvcGroup
MessagingService_c4839		MessagingService_c4839	Остановлено	UnistackSvcGroup
MicrosoftEdgeElevationService		Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)	Остановлено	
midisrv		Служба Windows MIDI	Остановлено	
mpssvc	2244	Брандмауэр Защитника Windows	Выполняется	LocalServiceNoNetworkFirewall
MSDTC		Координатор распределенных транзакций	Остановлено	
MSiSCSI		Служба инициатора Майкрософт iSCSI	Остановлено	netsvcs
msiserver		Установщик Windows	Остановлено	
MsKeyboardFilter		Фильтрация клавиатуры Microsoft	Остановлено	netsvcs
MyService1		GIGABYTE Adjust	Остановлено	
NaturalAuthentication		Проверка подлинности на основе физических параметров	Остановлено	netsvcs
NcaSvc		Помощник по подключению к сети	Остановлено	NetSvcs
NcbService		Посредник подключений к сети	Остановлено	LocalSystemNetworkRestricted
NcdAutoSetup		Автоматическая настройка сетевых устройств	Остановлено	LocalServiceNoNetwork
Netlogon		Сетевой вход в систему	Остановлено	
Netman		Сетевые подключения	Остановлено	LocalSystemNetworkRestricted
netprofm	2828	Служба списка сетей	Выполняется	netprofm
NetSetupSvc		Служба настройки сети	Остановлено	netsvcs
NetTcpPortSharing		Служба общего доступа к портам Net.Tcp	Остановлено	
NgcCtnrSvc	2812	Контейнер службы Microsoft Passport	Выполняется	LocalServiceNetworkRestricted
NgcSvc	1568	Служба Microsoft Passport	Выполняется	LocalSystemNetworkRestricted
NlaSvc		Сведения о расположении в сети	Остановлено	netprofm
nllbIDSAgent		nllbIDSAgent	Остановлено	
Norton Antivirus		Norton Antivirus	Остановлено	
Norton Firewall		Norton Firewall Service	Остановлено	
Norton Tools		Norton Tools	Остановлено	
nortonAvDumper64		nortonAvDumper64	Остановлено	
NortonVpn		Norton VPN	Остановлено	
NortonWscReporter		NortonWscReporter	Остановлено	
NPSMSvc_51989		Служба диспетчера текущего сеанса_51989	Остановлено	LocalService
NPSMSvc_c4839		Служба диспетчера текущего сеанса_c4839	Остановлено	LocalService
nsi	1956	Служба интерфейса сохранения сети	Выполняется	LocalService
OCButtonService		OCButtonService	Остановлено	
OneDrive Updater Service		OneDrive Updater Service	Остановлено	
OneSyncSvc_51989		Синхронизация узла_51989	Остановлено	UnistackSvcGroup
OneSyncSvc_c4839		Синхронизация узла_c4839	Остановлено	UnistackSvcGroup
P9RdrService_51989		P9RdrService_51989	Остановлено	P9RdrService
P9RdrService_c4839		P9RdrService_c4839	Остановлено	P9RdrService
PcaSvc		Служба помощника по совместимости программ	Остановлено	LocalSystemNetworkRestricted
PeerDistSvc		BranchCache	Остановлено	PeerDist
PenService_51989		PenService_51989	Остановлено	PenService
PenService_c4839		PenService_c4839	Остановлено	PenService
perceptionsimulation		Служба имитации восприятия Windows	Остановлено	
PerfHost		Хост библиотеки счетчика производительности	Остановлено	
PhoneSvc		Телефонная связь	Остановлено	LocalService
PimIndexMaintenanceSvc_51989		Служба контактных данных_51989	Остановлено	UnistackSvcGroup
PimIndexMaintenanceSvc_c4839		Служба контактных данных_c4839	Остановлено	UnistackSvcGroup
pla		Журналы и оповещения производительности	Остановлено	LocalServiceNoNetwork
PlugPlay	1268	Plug and Play	Выполняется	DcomLaunch
PolicyAgent	2984	Агент политики IPsec	Выполняется	NetworkServiceNetworkRestricted
Power	1268	Питание	Выполняется	DcomLaunch
PrintDeviceConfigurationService		Служба настройки принтеров	Остановлено	LocalSystemNetworkRestricted
PrintNotify		Расширения и уведомления для принтеров	Остановлено	print
PrintScanBrokerService		PrintScanBrokerService	Остановлено	PrintScanBrokerService
PrintWorkflowUserSvc_51989		PrintWorkflow_51989	Остановлено	PrintWorkflow
PrintWorkflowUserSvc_c4839		PrintWorkflow_c4839	Остановлено	PrintWorkflow
ProfSvc	1648	Служба профилей пользователей	Выполняется	UserProfileService
PushToInstall		Служба PushToInstall Windows	Остановлено	netsvcs
QWAVE		Quality Windows Audio Video Experience	Остановлено	LocalServiceAndNoImpersonation
RasAuto		Диспетчер автоматических подключений удаленного доступа	Остановлено	netsvcs
RasMan		Диспетчер подключений удаленного доступа	Остановлено	netsvcs
refsdedupsvc		Служба Dedup ReFS	Остановлено	
RemoteAccess		Маршрутизация и удаленный доступ	Остановлено	netsvcs
RemoteRegistry		Удаленный реестр	Остановлено	localService
RetailDemo		Служба демонстрации магазина	Остановлено	rdxgroup
RmSvc		Служба управления радио	Остановлено	LocalServiceNetworkRestricted
RpcEptMapper	1396	Сопоставитель конечных точек RPC	Выполняется	RPCSS
RpcLocator		Локатор удаленного вызова процедур (RPC)	Остановлено	
RpcSs	1396	Удаленный вызов процедур (RPC)	Выполняется	rpcss
RtkAudioUniversalService		Realtek Audio Universal Service	Остановлено	
SamSs		Диспетчер учетных записей безопасности	Остановлено	
SCardSvr		Смарт-карта	Остановлено	LocalServiceAndNoImpersonation
ScDeviceEnum		Служба перечисления устройств чтения смарт-карт	Остановлено	LocalSystemNetworkRestricted
Schedule		Планировщик задач	Остановлено	netsvcs
SCPolicySvc		Политика удаления смарт-карт	Остановлено	netsvcs
SDRSVC		Программа архивации данных	Остановлено	SDRSVC
seclogon		Вторичный вход в систему	Остановлено	netsvcs
SecurityHealthService		Служба "Безопасность Windows"	Остановлено	
SEMgrSvc		Диспетчер платежей и NFC/защищенных элементов	Остановлено	LocalService
SENS		Служба уведомления о системных событиях	Остановлено	netsvcsRedirectionGuard
Sense		Sense	Остановлено	
SensorDataService		Служба данных датчиков	Остановлено	
SensorService		Служба датчиков	Остановлено	LocalSystemNetworkRestricted
SensrSvc		Служба наблюдения за датчиками	Остановлено	LocalServiceAndNoImpersonation
SessionEnv		Настройка сервера удаленных рабочих столов	Остановлено	netsvcs
SharedAccess		Общий доступ к подключению к Интернету (ICS)	Остановлено	netsvcs
ShellHWDetection		Определение оборудования оболочки	Остановлено	netsvcs
shpamsvc		Shared PC Account Manager	Остановлено	netsvcsRedirectionGuard
smphost		SMP дисковых пространств (Майкрософт)	Остановлено	smphost
SmsRouter		Служба маршрутизатора SMS Microsoft Windows.	Остановлено	LocalServiceNetworkRestricted
SNMPTrap		Ловушка SNMP	Остановлено	
Spooler		Диспетчер печати	Остановлено	
sppsvc		Защита программного обеспечения	Остановлено	
SSDPSRV		Обнаружение SSDP	Остановлено	LocalServiceAndNoImpersonation
ssh-agent		OpenSSH Authentication Agent	Остановлено	
SstpSvc		Служба SSTP	Остановлено	LocalService
StateRepository	1160	Служба репозитория состояний	Выполняется	appmodel
StiSvc		Служба загрузки изображений Windows (WIA)	Остановлено	imgsvc
StorSvc		Служба хранилища	Остановлено	LocalSystemNetworkRestricted
svsvc		Быстрая проверка	Остановлено	LocalSystemNetworkRestricted
swprv		Программный поставщик теневого копирования (Microsoft)	Остановлено	swprv
SysMain		SysMain	Остановлено	LocalSystemNetworkRestricted
SystemEventsBroker	1268	Брокер системных событий	Выполняется	DcomLaunch
TapiSrv		Телефония	Остановлено	NetworkService
TermService		Службы удаленных рабочих столов	Остановлено	NetworkService
